id_basic,country,current_year,altman,in05,quicktest,bonity,taffler,binkert,result,ratio,percentage
97,Slovakia,2016,158.53,168.22,7,332.21,32.42,68.39,No Financial Distress,138.305,79.78
98,Slovakia,2018,1488.2,1835.38,4,4167.51,229.93,5.58,No Financial Distress,1544.25,100
99,Slovakia,2020,27.27,23.66,11,-26.31,-1.73,6.81,First Degree Financial Distress,4.59618,56.67
100,Slovakia,2020,-0.89,0.85,10,-0.15,0.27,N/A,First Degree Financial Distress,0.036,38.46
101,Slovakia,2018,0.12,12.16,16,-5.99,0.22,17.38,Second Degree Financial Distress,1.3145,50.55
102,Slovakia,2015,868.17,102.28,12,-227.74,230.19,16.42,First Degree Financial Distress,194.597,84.62
103,Slovakia,2020,-133.58,-26.55,16,-111.63,5.07,9.79,Second Degree Financial Distress,-53.3255,17.58
104,Slovakia,2020,5.61,29.83,4,147.06,6.74,31.61,No Financial Distress,37.898,75
105,Slovakia,2016,1.59,3.61,8,2.64,2.86,N/A,No Financial Distress,2.165,52.69
106,Slovakia,2017,-135.53,-44.35,12,-124.79,-4.61,57.38,Second Degree Financial Distress,-61.8393,15.96
107,Slovakia,2015,222.49,10.61,8,28.46,8.54,0.66,No Financial Distress,54.045,76.84
108,Slovakia,2016,0.99,0.25,11,12.69,0.32,N/A,First Degree Financial Distress,2.86818,53.13
109,Slovakia,2016,-2.35,-4.34,16,-15.96,2.22,-0.62,Second Degree Financial Distress,-4.0735,24.74
110,Slovakia,2020,-0.89,0.85,10,-0.15,0.27,N/A,First Degree Financial Distress,0.036,38.14
111,Slovakia,2020,-4.42,-1.82,16,-12.17,0.29,0.28,Second Degree Financial Distress,-3.6115,25.51
112,Slovakia,2020,213.37,-56.84,9,-266.91,129.15,3.01,First Degree Financial Distress,3.77622,55.56
113,Slovakia,2019,193.9,-39.11,16,-133.39,6.42,-67.82,Second Degree Financial Distress,5.5765,61
114,Slovakia,2016,-15.39,-34.47,12,18.28,1.43,-3.72,First Degree Financial Distress,-6.01333,22.77
115,Slovakia,2020,7.54,-24.63,12,-93.57,21.63,0.51,First Degree Financial Distress,-17.7893,20.79
116,Slovakia,2020,-1.39,0.01,16,-5.4,-0.31,-0.25,Third Degree Financial Distress,-1.4055,31.37
117,Slovakia,2019,-7.3,2.88,8,-0.52,0.74,-32.41,First Degree Financial Distress,-0.815,33.98
118,Slovakia,2020,7.11,-10.41,9,-6.34,5.34,0.44,First Degree Financial Distress,-0.837778,33.01
119,Slovakia,2019,467.6,414.88,4,269.09,-36.97,N/A,First Degree Financial Distress,222.97,86.54
120,Slovakia,2020,76.73,4.85,4,237.71,3.04,147.89,No Financial Distress,64.516,78.1
121,Slovakia,2016,-157.73,-545.33,16,-1426.99,-214.06,20.95,Third Degree Financial Distress,-468.81,4.72
122,Slovakia,2017,390.48,211.38,8,36.66,38.84,0.54,No Financial Distress,135.497,81.31
123,Slovakia,2018,988.55,953,8,-36.93,83.42,-0.1,First Degree Financial Distress,397.633,93.46
124,Slovakia,2020,-106.43,-106.94,14,-300.71,111.73,1.89,Second Degree Financial Distress,-80.4557,13.89
125,Slovakia,2018,42.01,72.4,7,5.05,7.14,0.15,No Financial Distress,25.3486,72.48
126,Slovakia,2020,-1.39,0.01,16,-5.4,-0.31,-0.25,Third Degree Financial Distress,-1.4055,31.19
127,Slovakia,2015,96.83,207.54,8,-302.09,31.62,-2.07,First Degree Financial Distress,6.805,61.82
128,Slovakia,2020,-106.43,-106.94,14,-300.71,111.73,1.89,Second Degree Financial Distress,-80.4557,13.64
129,Slovakia,2018,72.19,103.91,11,0.5,1.02,-0.15,No Financial Distress,35.5422,74.55
130,Slovakia,2018,-13.43,-1.12,17,-0.84,0.42,-42.75,Second Degree Financial Distress,-2.98224,26.13
131,Slovakia,2015,-0.7,-1.39,16,-6.37,0.12,2.57,Third Degree Financial Distress,-1.6555,29.46
132,Slovakia,2016,423.32,-839.44,16,-2636.11,-82.25,3.36,Second Degree Financial Distress,-626.883,3.54
133,Slovakia,2020,1.86,0.96,12,-148.28,0.07,N/A,First Degree Financial Distress,-29.0613,20.18
134,Slovakia,2020,N/A,574.06,4,1329.38,93.74,15.99,No Financial Distress,399.486,93.91
135,Slovakia,2018,-223.87,-239.06,16,-895.95,-77.95,-3.21,Third Degree Financial Distress,-287.353,6.9
136,Slovakia,2020,213.37,-56.84,9,-266.91,129.15,3.01,First Degree Financial Distress,3.77622,56.03
137,Slovakia,2019,193.9,-39.11,16,-133.39,6.42,-67.82,Second Degree Financial Distress,5.5765,61.21
138,Slovakia,2017,-1.39,-0.78,16,-2.56,0.29,-0.94,Second Degree Financial Distress,-0.8755,35.04
139,Slovakia,2020,-52.42,-166.67,12,-587.36,-460.08,13.03,Second Degree Financial Distress,-253.289,7.63
140,Slovakia,2018,4.56,1.28,5,2.19,0.62,4.11,No Financial Distress,1.77,52.1
141,Slovakia,2016,-8.13,-6.59,16,-22.08,1.03,N/A,Second Degree Financial Distress,-7.1415,24.17
142,Slovakia,2018,2.77,1.24,15,1.14,0.68,2.55,No Financial Distress,1.17933,50.41
143,Slovakia,2020,20.97,92.48,18,-2245.64,-155.15,337.07,Second Degree Financial Distress,-457.457,5.74
144,Slovakia,2020,33.77,7.27,9,-100.74,46.9,-6.63,First Degree Financial Distress,-2.53778,30.08
145,Slovakia,2020,1.4,-0.01,12,-12.85,-0.01,N/A,Second Degree Financial Distress,-2.27733,30.65
146,Slovakia,2020,20.97,92.48,18,-2245.64,-155.15,337.07,Second Degree Financial Distress,-457.457,5.65
147,Slovakia,2020,152.88,243.26,6,438.75,99.57,7.3,No Financial Distress,186.925,86.4
148,Slovakia,2020,-480.72,-71.04,12,-224.3,-60.98,-10.5,Third Degree Financial Distress,-167.391,12.7
149,Slovakia,2020,110.85,129.47,6,335.29,166.92,11.89,No Financial Distress,148.539,83.46
150,Slovakia,2020,1.3,0.73,7,5.35,0.06,0.84,First Degree Financial Distress,1.51657,53.13
151,Slovakia,2020,130.49,-8.97,10,-34.3,-32.64,-1.7,Second Degree Financial Distress,10.936,65.12
152,Slovakia,2020,-105.14,197.03,4,392.02,169.31,8.86,First Degree Financial Distress,130.694,81.54
153,Slovakia,2016,255.88,33.69,8,3.37,3.76,59.04,No Financial Distress,59.365,77.86
154,Slovakia,2016,0.37,0.03,16,-1.07,0.3,442.39,Second Degree Financial Distress,-0.0615,40.15
155,Slovakia,2020,3.59,25.25,15,0.68,24.27,5.05,No Financial Distress,10.7713,63.91
156,Slovakia,2020,-49.38,-65.33,11,-192.86,-31.8,33.67,Second Degree Financial Distress,-67.8558,15.67
157,Slovakia,2020,2536.11,887.9,4,1830.01,164.03,0.57,No Financial Distress,1083.66,97.78
158,Slovakia,2017,-134.21,-152.54,16,-455.67,-19.43,-0.86,Third Degree Financial Distress,-152.357,12.5
159,Slovakia,2016,89.93,69.3,8,3.51,3.98,-9.44,First Degree Financial Distress,33.369,74.45
160,Slovakia,2018,-41.36,-59.12,12,-247.87,-93.74,-0.12,Second Degree Financial Distress,-88.4013,14.49
161,Slovakia,2020,169.97,-145.85,12,-647.82,-27.86,12.87,Second Degree Financial Distress,-130.295,12.95
162,Slovakia,2020,-1.95,0.7,15,2.51,0.19,-6.8,Second Degree Financial Distress,0.303333,44.29
163,Slovakia,2016,1952.53,2472.98,12,-201.03,4.93,-1.48,First Degree Financial Distress,845.899,96.45
164,Slovakia,2018,0.09,-2.94,18,-12.96,-0.11,N/A,Third Degree Financial Distress,-3.17289,28.17
165,Slovakia,2016,-1151.59,-50.98,16,-151.42,45.28,-55.25,Third Degree Financial Distress,-261.729,6.99
166,Slovakia,2017,-1352.9,-971.45,16,-2567.9,149.32,-0.88,Second Degree Financial Distress,-948.573,2.08
167,Slovakia,2019,N/A,460.52,4,866.58,42.57,6.5,No Financial Distress,273.984,89.66
168,Slovakia,2020,130.49,-8.97,10,-34.3,-32.64,-1.7,Second Degree Financial Distress,10.936,64.83
169,Slovakia,2016,423.32,-839.44,16,-2636.11,-82.25,3.36,Second Degree Financial Distress,-626.883,3.45
170,Slovakia,2016,-0.29,109.35,14,-0.01,57.24,N/A,First Degree Financial Distress,33.2723,73.97
171,Slovakia,2020,152.88,243.26,6,438.75,99.57,7.3,No Financial Distress,186.925,86.3
172,Slovakia,2015,-0.7,-1.39,16,-6.37,0.12,2.57,Third Degree Financial Distress,-1.6555,33.56
173,Slovakia,2020,250.87,184.28,5,315.16,187.13,1.31,No Financial Distress,187.528,86.39
174,Slovakia,2016,-295,-137.02,12,-547.17,98.48,1.37,Second Degree Financial Distress,-176.125,10.14
175,Slovakia,2020,-480.72,-71.04,12,-224.3,-60.98,-10.5,Third Degree Financial Distress,-167.391,12.84
176,Slovakia,2019,6.6,6.41,9,-4.77,-1.94,3.31,First Degree Financial Distress,1.28222,51.68
177,Slovakia,2020,470.69,74.68,8,86.6,83.96,70.5,No Financial Distress,143.211,82.67
178,Slovakia,2020,786.79,692.43,4,2029.41,269.63,1.13,No Financial Distress,755.702,95.36
179,Slovakia,2015,-3.13,-6.79,12,-131.14,-25.01,N/A,Second Degree Financial Distress,-33.1973,22.37
180,Slovakia,2018,-41.36,-59.12,12,-247.87,-93.74,-0.12,Second Degree Financial Distress,-88.4013,15.79
181,Slovakia,2018,42.01,72.4,7,5.05,7.14,0.15,No Financial Distress,25.3486,71.71
